Geo_FIPS,_geo_level_,Geo_NAME,Geo_qname,Geo_AREALAND,Geo_AREAWATER,SE_A18009_001
34001,SL050,"Atlantic County, New Jersey","Atlantic County, New Jersey",1438939255,301106094,1433
34003,SL050,"Bergen County, New Jersey","Bergen County, New Jersey",602934378,35371524,1992
34005,SL050,"Burlington County, New Jersey","Burlington County, New Jersey",2070137466,54604075,1887
34007,SL050,"Camden County, New Jersey","Camden County, New Jersey",573329867,15919264,1433
34009,SL050,"Cape May County, New Jersey","Cape May County, New Jersey",651437187,955149827,1671
34011,SL050,"Cumberland County, New Jersey","Cumberland County, New Jersey",1251948171,503663195,1201
34013,SL050,"Essex County, New Jersey","Essex County, New Jersey",326552231,8653266,1616
34015,SL050,"Gloucester County, New Jersey","Gloucester County, New Jersey",833999181,38137129,1504
34017,SL050,"Hudson County, New Jersey","Hudson County, New Jersey",119638045,41839269,1998
34019,SL050,"Hunterdon County, New Jersey","Hunterdon County, New Jersey",1108086283,24761599,1780
34021,SL050,"Mercer County, New Jersey","Mercer County, New Jersey",581404579,11327997,1744
34023,SL050,"Middlesex County, New Jersey","Middlesex County, New Jersey",800957688,35286675,1947
34025,SL050,"Monmouth County, New Jersey","Monmouth County, New Jersey",1212642640,500373881,1856
34027,SL050,"Morris County, New Jersey","Morris County, New Jersey",1194051047,53100988,1896
34029,SL050,"Ocean County, New Jersey","Ocean County, New Jersey",1627264184,742150453,1804
34031,SL050,"Passaic County, New Jersey","Passaic County, New Jersey",482078672,32001148,1679
34033,SL050,"Salem County, New Jersey","Salem County, New Jersey",859515221,105389623,1402
34035,SL050,"Somerset County, New Jersey","Somerset County, New Jersey",781832066,7993021,2187
34037,SL050,"Sussex County, New Jersey","Sussex County, New Jersey",1342879999,43881034,1704
34039,SL050,"Union County, New Jersey","Union County, New Jersey",266165786,6839053,1829
34041,SL050,"Warren County, New Jersey","Warren County, New Jersey",923435920,15825325,1488
